Age,Lhat
0.87,56.5617883087509
0.88,56.8363741609847
0.89,57.1079813582858
0.9,57.3766422125345
0.91,57.6423886850983
0.92,57.9052523906334
0.93,58.1652646008465
0.94,58.4224562482149
0.95,58.6768579296662
0.96,58.9284999102181
0.97,59.1774121265796
0.98,59.4236241907117
0.99,59.6671653933506
1,59.9080647074921
1.01,60.1463507918386
1.02,60.3820519942083
1.03,60.6151963549077
1.04,60.8458116100673
1.05,61.0739251949415
1.06,61.2995642471722
1.07,61.5227556100174
1.08,61.7435258355444
1.09,61.961901187789
1.1,62.1779076458795
1.11,62.3915709071278
1.12,62.6029163900861
1.13,62.8119692375711
1.14,63.0187543196548
1.15,63.2232962366238
1.16,63.4256193219051
1.17,63.6257476449615
1.18,63.8237050141549
1.19,64.0195149795785
1.2,64.2132008358588
1.21,64.4047856249263
1.22,64.5942921387574
1.23,64.7817429220852
1.24,64.9671602750821
1.25,65.1505662560122
1.26,65.3319826838559
1.27,65.5114311409055
1.28,65.6889329753328
1.29,65.8645093037284
1.3,66.0381810136144
1.31,66.2099687659291
1.32,66.3798929974845
1.33,66.5479739233985
1.34,66.7142315394988
1.35,66.8786856247025
1.36,67.0413557433685
1.37,67.2022612476255
1.38,67.3614212796739
1.39,67.5188547740632
1.4,67.6745804599444
1.41,67.8286168632984
1.42,67.9809823091398
1.43,68.1316949236968
1.44,68.2807726365678
1.45,68.4282331828543
1.46,68.574094105271
1.47,68.7183727562322
1.48,68.8610862999169
1.49,69.0022517143102
1.5,69.1418857932232
1.51,69.2800051482911
1.52,69.416626210949
1.53,69.5517652343872
1.54,69.6854382954844
1.55,69.8176612967202
1.56,69.9484499680675
1.57,70.0778198688631
1.58,70.2057863896593
1.59,70.3323647540546
1.6,70.4575700205047
1.61,70.5814170841141
1.62,70.7039206784082
1.63,70.8250953770856
1.64,70.9449555957525
1.65,71.0635155936373
1.66,71.1807894752869
1.67,71.2967911922447
1.68,71.4115345447107
1.69,71.5250331831828
1.7,71.6373006100808
1.71,71.748350181353
1.72,71.8581951080649
1.73,71.9668484579708
1.74,72.0743231570685
1.75,72.1806319911371
1.76,72.285787607258
1.77,72.3898025153194
1.78,72.4926890895047
1.79,72.5944595697646
1.8,72.6951260632729
1.81,72.7947005458673
1.82,72.8931948634738
1.83,72.9906207335161
1.84,73.0869897463096
1.85,73.18231336644
1.86,73.2766029341274
1.87,73.3698696665755
1.88,73.4621246593057
1.89,73.5533788874775
1.9,73.6436432071938
1.91,73.7329283567928
1.92,73.821244958125
1.93,73.9086035178172
1.94,73.9950144285222
1.95,74.0804879701556
1.96,74.1650343111181
1.97,74.2486635095058
1.98,74.3313855143062
1.99,74.4132101665823
2,74.494147200643
2.01,74.5742062452015
2.02,74.6533968245202
2.03,74.7317283595445
2.04,74.8092101690228
2.05,74.8858514706159
2.06,74.9616613819928
2.07,75.0366489219161
2.08,75.1108230113142
2.09,75.1841924743433
2.1,75.2567660394368
2.11,75.3285523403435
2.12,75.3995599171551
2.13,75.4697972173222
2.14,75.5392725966586
2.15,75.6079943203362
2.16,75.6759705638679
2.17,75.7432094140799
2.18,75.8097188700743
2.19,75.8755068441804
2.2,75.9405811628961
2.21,76.0049495678189
2.22,76.0686197165669
2.23,76.1315991836899
2.24,76.1938954615703
2.25,76.2555159613147
2.26,76.3164680136353
2.27,76.3767588697224
2.28,76.4363957021064
2.29,76.4953856055117
2.3,76.5537355977005
2.31,76.6114526203075
2.32,76.6685435396659
2.33,76.7250151476243
2.34,76.7808741623547
2.35,76.8361272291515
2.36,76.8907809212222
2.37,76.9448417404695
2.38,76.9983161182648
2.39,77.0512104162128
2.4,77.1035309269093
2.41,77.1552838746887
2.42,77.2064754163653
2.43,77.2571116419654
2.44,77.3071985754518
2.45,77.3567421754407
2.46,77.40574833591
2.47,77.4542228869012
2.48,77.5021715952124
2.49,77.5496001650847
2.5,77.5965142388806
2.51,77.6429193977554
2.52,77.6888211623211
2.53,77.7342249933031
2.54,77.7791362921898
2.55,77.8235604018756
2.56,77.8675026072958
2.57,77.910968136056
2.58,77.9539621590536
2.59,77.9964897910933
2.6,78.038556091495
2.61,78.0801660646965
2.62,78.1213246608481
2.63,78.1620367764019
2.64,78.2023072546942
2.65,78.2421408865218
2.66,78.2815424107119
2.67,78.3205165146855
