Day,Year,Lhat,SE,Lower,Upper,sigmaPred,loPred,upPred
1863,5.1041095890411,72.7003863546268,1.31663541416262,70.119828362098,75.2809443471555,4.99757487235054,62.9053195947773,82.4954531144762
1864,5.10684931506849,72.7019749378831,1.31701891113218,70.1206653051058,75.2832845706603,5.00063108483625,62.9009181116326,82.5030317641336
1865,5.10958904109589,72.7035599964525,1.31740180776536,70.1214999000645,75.2856200928406,5.00368916631542,62.896509440641,82.510610552264
1866,5.11232876712329,72.7051415381555,1.31778410483354,70.1223321532825,75.2879509230286,5.00674911793102,62.8920935873831,82.518189488928
1867,5.11506849315068,72.7067195707952,1.31816580310768,70.1231620710519,75.2902770705386,5.0098109408267,62.8876705574202,82.5257685841703
1868,5.11780821917808,72.7082941021573,1.31854690335829,70.1239896596483,75.2925985446664,5.01287463614683,62.8832403562952,82.5333478480194
1869,5.12054794520548,72.7098651400104,1.31892740635542,70.1248149253309,75.2949153546898,5.01594020503646,62.8788029895324,82.5409272904883
1870,5.12328767123288,72.7114326921056,1.31930731286866,70.1256378743427,75.2972275098685,5.01900764864137,62.8743584626374,82.5485069215737
1871,5.12602739726027,72.7129967661771,1.31968662366714,70.1264585129102,75.2995350194439,5.022076968108,62.8699067810973,82.5560867512568
1872,5.12876712328767,72.7145573699417,1.32006533951954,70.1272768472438,75.3018378926396,5.02514816458353,62.8654479503804,82.563666789503
1873,5.13150684931507,72.7161145110993,1.32044346119407,70.1280928835375,75.3041361386611,5.02822123921581,62.8609819759369,82.5712470462616
1874,5.13424657534247,72.7176681973325,1.32082098945849,70.1289066279693,75.3064297666957,5.03129619315342,62.8565088631983,82.5788275314667
1875,5.13698630136986,72.719218436307,1.32119792508008,70.129718086701,75.308718785913,5.03437302754561,62.8520286175777,82.5864082550363
1876,5.13972602739726,72.7207652356715,1.32157426882566,70.1305272658783,75.3110032054646,5.03745174354238,62.8475412444699,82.593989226873
1877,5.14246575342466,72.7223086030575,1.3219500214616,70.1313341716308,75.3132830344842,5.04053234229437,62.8430467492512,82.6015704568638
1878,5.14520547945205,72.7238485460799,1.32232518375376,70.1321388100722,75.3155582820876,5.04361482495299,62.8385451372798,82.60915195488
1879,5.14794520547945,72.7253850723365,1.32269975646755,70.1329411873002,75.3178289573728,5.0466991926703,62.8340364138953,82.6167337307777
1880,5.15068493150685,72.7269181894083,1.32307374036793,70.1337413093964,75.3200950694201,5.04978544659911,62.8295205844195,82.624315794397
1881,5.15342465753425,72.7284479048594,1.32344713621934,70.1345391824268,75.322356627292,5.05287358789289,62.8249976541557,82.6318981555631
1882,5.15616438356164,72.7299742262373,1.32381994478577,70.1353348124413,75.3246136400332,5.05596361770584,62.820467628389,82.6394808240856
1883,5.15890410958904,72.7314971610725,1.32419216683073,70.1361282054742,75.3268661166708,5.05905553719288,62.8159305123865,82.6470638097585
1884,5.16164383561644,72.733016716879,1.32456380311724,70.1369193675438,75.3291140662142,5.0621493475096,62.8113863113973,82.6546471223608
1885,5.16438356164384,72.7345329011541,1.32493485440785,70.1377083046529,75.3313574976553,5.06524504981233,62.8068350306521,82.662230771656
1886,5.16712328767123,72.7360457213783,1.3253053214646,70.1384950227884,75.3335964199682,5.06834264525809,62.802276675364,82.6698147673927
1887,5.16986301369863,72.7375551850158,1.32567520504909,70.1392795279219,75.3358308421098,5.07144213500461,62.7977112507279,82.6773991193038
1888,5.17260273972603,72.739061299514,1.32604450592239,70.1400618260089,75.3380607730191,5.07454352021032,62.7931387619206,82.6849838371073
1889,5.17534246575342,72.7405640723037,1.3264132248451,70.1408419229897,75.3402862216177,5.07764680203439,62.7885592141013,82.6925689305061
1890,5.17808219178082,72.7420635107995,1.32678136257733,70.141619824789,75.3425071968101,5.08075198163665,62.7839726124112,82.7001544091879
1891,5.18082191780822,72.7435596223994,1.3271489198787,70.1423955373159,75.3447237074829,5.08385906017768,62.7793789619735,82.7077402828253
1892,5.18356164383562,72.7450524144849,1.32751589750832,70.1431690664643,75.3469357625056,5.08696803881876,62.7747782678938,82.7153265610761
1893,5.18630136986301,72.7465418944213,1.32788229622481,70.1439404181123,75.3491433707303,5.09007891872186,62.7701705352599,82.7229132535828
1894,5.18904109589041,72.7480280695574,1.32824811678632,70.1447095981231,75.3513465409918,5.09319170104969,62.7655557691418,82.7305003699731
1895,5.19178082191781,72.7495109472259,1.32861335995047,70.1454766123442,75.3535452821075,5.09630638696566,62.7609339745917,82.73808791986
1896,5.19452054794521,72.7509905347429,1.32897802647438,70.146241466608,75.3557396028778,5.09942297763387,62.7563051566445,82.7456759128413
1897,5.1972602739726,72.7524668394085,1.3293421171147,70.1470041667315,75.3579295120856,5.10254147421916,62.7516693203171,82.7532643585
1898,5.2,72.7539398685067,1.32970563262753,70.1477647185167,75.3601150184967,5.10566187788708,62.7470264706089,82.7608532664045
1899,5.2027397260274,72.755409629305,1.33006857376851,70.1485231277502,75.3622961308599,5.10878418980387,62.7423766125018,82.7684426461083
1900,5.20547945205479,72.7568761290552,1.33043094129274,70.1492794002037,75.3644728579067,5.11190841113652,62.7377197509603,82.7760325071502
1901,5.20821917808219,72.7583393749926,1.33079273595484,70.1500335416336,75.3666452083516,5.11503454305269,62.7330558909311,82.7836228590542
1902,5.21095890410959,72.7597993743368,1.33115395850889,70.1507855577814,75.3688131908921,5.1181625867208,62.7283850373437,82.7912137113299
1903,5.21369863013699,72.7612561342911,1.33151460970849,70.1515354543735,75.3709768142086,5.12129254330994,62.7237071951101,82.7988050734721
1904,5.21643835616438,72.7627096620429,1.3318746903067,70.1522832371213,75.3731360869645,5.12442441398994,62.7190223691248,82.806396954961
1905,5.21917808219178,72.7641599647638,1.33223420105609,70.1530289117213,75.3752910178062,5.12755819993136,62.7143305642653,82.8139893652622
1906,5.22191780821918,72.7656070496092,1.3325931427087,70.1537724838551,75.3774416153633,5.13069390230543,62.7096317853913,82.8215823138272
1907,5.22465753424658,72.767050923719,1.33295151601605,70.1545139591895,75.3795878882486,5.13383152228414,62.7049260373457,82.8291758100924
1908,5.22739726027397,72.768491594217,1.33330932172916,70.1552533433763,75.3817298450577,5.13697106104018,62.7002133249537,82.8367698634803
1909,5.23013698630137,72.7699290682112,1.33366656059851,70.1559906420527,75.3838674943697,5.14011251974695,62.6954936530237,82.8443644833986
1910,5.23287671232877,72.7713633527939,1.33402323337406,70.156725860841,75.3860008447467,5.14325589957858,62.6907670263467,82.851959679241
1911,5.23561643835616,72.7727944550416,1.33437934080527,70.157459005349,75.3881299047342,5.14640120170992,62.6860334496965,82.8595554603867
1912,5.23835616438356,72.7742223820152,1.33473488364105,70.1581900811695,75.3902546828609,5.14954842731651,62.6812929278299,82.8671518362004
1913,5.24109589041096,72.7756471407598,1.3350898626298,70.1589190938809,75.3923751876388,5.15269757757466,62.6765454654867,82.8747488160329
1914,5.24383561643836,72.7770687383051,1.33544427851937,70.159646049047,75.3944914275631,5.15584865366134,62.6717910673895,82.8823464092206
1915,5.24657534246575,72.7784871816649,1.33579813205712,70.1603709522171,75.3966034111127,5.15900165675429,62.667029738244,82.8899446250858
1916,5.24931506849315,72.7799024778376,1.33615142398985,70.1610938089256,75.3987111467496,5.16215658803194,62.6622614827388,82.8975434729364
1917,5.25205479452055,72.7813146338061,1.33650415506384,70.1618146246929,75.4008146429194,5.16531344867346,62.6574863055458,82.9051429620665
1918,5.25479452054795,72.7827236565378,1.33685632602483,70.1625334050246,75.402913908051,5.16847223985872,62.6527042113196,82.9127431017559
1919,5.25753424657534,72.7841295529845,1.33720793761804,70.1632501554121,75.4050089505569,5.17163296276832,62.6479152046984,82.9203439012706
1920,5.26027397260274,72.7855323300828,1.33755899058813,70.1639648813323,75.4070997788332,5.1747956185836,62.6431192903032,82.9279453698623
1921,5.26301369863014,72.7869319947536,1.33790948567925,70.1646775882478,75.4091864012595,5.1779602084866,62.6383164727384,82.9355475167689
1922,5.26575342465753,72.7883285539029,1.338259423635,70.1653882816069,75.4112688261988,5.18112673366009,62.6335067565914,82.9431503512143
1923,5.26849315068493,72.7897220144208,1.33860880519844,70.1660969668437,75.413347061998,5.18429519528756,62.6286901464332,82.9507538824085
